Что такое подагра?,http://www.happy-giraffe.ru/community/33/forum/post/32033/,+,+,,,,,,,,,,,,
Воспаление суставов: как подавить боль,http://www.happy-giraffe.ru/community/33/forum/post/50983/,+,+,,,,,,,,,,,,
Когда нужно начинать лечение суставов ног?,http://www.happy-giraffe.ru/community/33/forum/post/54405/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Стоматолог (заболевания зубов и десен),Постов в рубрике: 22,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Мезенцева Ирина Олеговна ,"Врач - стоматолог высшей квалификационной категории, кандидат медицинских наук. ",Окончила ГОУ ВПО Саратовский ГМУ Росздрава.,с 11 января 2015 ,,,,,,,,
Афтозный стоматит у детей и взрослых,http://www.happy-giraffe.ru/community/33/forum/post/23359/,+,+,http://www.happy-giraffe.ru/user/434029/,,,,,,,,,,,
Почему кровоточат десны,http://www.happy-giraffe.ru/community/33/forum/post/23403/,+,+,,,,,,,,,,,,
Удалили зуб – опухла щека. Что делать?,http://www.happy-giraffe.ru/community/33/forum/post/28752/,+,+,,,,,,,,,,,,
Киста зуба,http://www.happy-giraffe.ru/community/33/forum/post/31519/,+,+,,,,,,,,,,,,
Растет зуб мудрости? Готовимся к неприятностям…,http://www.happy-giraffe.ru/community/33/forum/post/31817/,+,+,,,,,,,,,,,,
Гранулема зуба – маленький «мешочек» с большими неприятностями,http://www.happy-giraffe.ru/community/33/forum/post/31842/,+,+,,,,,,,,,,,,
"Подробно о том, как избавиться от зубного камня",http://www.happy-giraffe.ru/community/33/forum/post/32373/,+,+,,,,,,,,,,,,
Зубные протезы съемные,http://www.happy-giraffe.ru/community/33/forum/post/32496/,+,+,,,,,,,,,,,,
Воспаление десен: ликвидация нагноения перед имплантацией,http://www.happy-giraffe.ru/community/33/forum/post/40406/,+,+,,,,,,,,,,,,
Воспаление десен при прорезывании зуба мудрости,http://www.happy-giraffe.ru/community/33/forum/post/42224/,+,+,,,,,,,,,,,,
Как отбелить зубы в домашних условиях? Быстро и красиво!,http://www.happy-giraffe.ru/community/33/forum/post/42900/,+,+,,,,,,,,,,,,
Чем полоскать рот после удаления зуба и есть ли в этом необходимость,http://www.happy-giraffe.ru/community/33/forum/post/43549/,+,+,,,,,,,,,,,,
Пародонтит (парадонтит): причины и методы профилактики,http://www.happy-giraffe.ru/community/33/forum/post/44041/,+,+,,,,,,,,,,,,
Почему образуется зубной камень?,http://www.happy-giraffe.ru/community/33/forum/post/46666/,+,+,,,,,,,,,,,,
Брекеты внутренние исправляют форму зубов,http://www.happy-giraffe.ru/community/33/forum/post/48849/,+,+,,,,,,,,,,,,
Болит зуб после пломбирования. Кто виноват?,http://www.happy-giraffe.ru/community/33/forum/post/49464/,+,+,,,,,,,,,,,,
Воспаление десен: лечение эффективно в комплексе,http://www.happy-giraffe.ru/community/33/forum/post/50746/,+,+,,,,,,,,,,,,
Лечение стоматита: официальная медицина или народные методы?,http://www.happy-giraffe.ru/community/33/forum/post/92885/,+,+,,,,,,,,,,,,
"Гранулема зуба: лечить, нельзя откладывать!",http://www.happy-giraffe.ru/community/33/forum/post/93961/,+,+,,,,,,,,,,,,
Бережный уход за зубными протезами: зачем и как?,http://www.happy-giraffe.ru/community/33/forum/post/99047/,+,+,,,,,,,,,,,,
Почему болят зубы после визита к стоматологу?,http://www.happy-giraffe.ru/community/33/forum/post/99051/,+,+,,,,,,,,,,,,
Удаление зуба и десна: почему болит после и как справиться?,http://www.happy-giraffe.ru/community/33/forum/post/102023/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Терапевт (общие проблемы здоровья),Постов в рубрике: 32,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Голубева Ирина Викторовна ,"Врач - терапевт, гепатолог, диетолог.",Окончила 2 Московский государственный медицинский институт.,,,,,,,,,
Как снизить давление в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/6577/,+,+,http://www.happy-giraffe.ru/user/433649/,,,,,,,,,,,
Чем опасен лимфостаз?,http://www.happy-giraffe.ru/community/33/forum/post/31379/,+,+,,,,,,,,,,,,
Непереносимость молока – что это такое и как с этим жить?,http://www.happy-giraffe.ru/community/33/forum/post/31511/,+,+,,,,,,,,,,,,
Мужской климакс: особенности протекания,http://www.happy-giraffe.ru/community/33/forum/post/32447/,+,+,,,,,,,,,,,,
Нарушение речи: причины и виды,http://www.happy-giraffe.ru/community/33/forum/post/32941/,+,+,,,,,,,,,,,,
"Все, что нужно знать про отложение солей в шейной части позвоночника",http://www.happy-giraffe.ru/community/33/forum/post/43817/,+,+,,,,,,,,,,,,
Электросон: безопасно и эффективно,http://www.happy-giraffe.ru/community/33/forum/post/44100/,+,+,,,,,,,,,,,,
"Аппликатор Кузнецова, или йоги отдыхают!",http://www.happy-giraffe.ru/community/33/forum/post/45336/,+,+,,,,,,,,,,,,
Болезнь аристократов – мигрень: лечение,http://www.happy-giraffe.ru/community/33/forum/post/46003/,+,+,,,,,,,,,,,,
Вазомоторный ринит – помеха свободному дыханию,http://www.happy-giraffe.ru/community/33/forum/post/46031/,+,+,,,,,,,,,,,,
Фонофорез: просто и понятно,http://www.happy-giraffe.ru/community/33/forum/post/46802/,+,+,,,,,,,,,,,,
Ионофорез (электрофорез) помогает лечить много болезней,http://www.happy-giraffe.ru/community/33/forum/post/48607/,+,+,,,,,,,,,,,,
Как провести эффективное лечение мастита?,http://www.happy-giraffe.ru/community/33/forum/post/49653/,+,+,,,,,,,,,,,,
Как избавиться от депрессии или Что такое хромотерапия,http://www.happy-giraffe.ru/community/33/forum/post/50615/,+,+,,,,,,,,,,,,
Как поднять температуру до нормы,http://www.happy-giraffe.ru/community/33/forum/post/50759/,+,+,,,,,,,,,,,,
Давление – норма! Краткий справочник для контроля 3-х важных показателей здоровья,http://www.happy-giraffe.ru/community/33/forum/post/50880/,+,+,,,,,,,,,,,,
Колонотерапия: комфортный способ избавления от шлаков,http://www.happy-giraffe.ru/community/33/forum/post/50985/,+,+,,,,,,,,,,,,
"Каким может быть васкулит, и можно ли от него избавиться?",http://www.happy-giraffe.ru/community/33/forum/post/55382/,+,+,,,,,,,,,,,,
"Варикозное расширение вен, и как с ним жить долго и счастливо",http://www.happy-giraffe.ru/community/33/forum/post/89545/,+,+,,,,,,,,,,,,
Излучение бытовой техники - норма или опасность?,http://www.happy-giraffe.ru/community/33/forum/post/92978/,+,+,,,,,,,,,,,,
Синяя лампа для прогревания: лечение с удовольствием,http://www.happy-giraffe.ru/community/33/forum/post/95061/,+,+,,,,,,,,,,,,
Глюкокортикоиды – друзья или враги?,http://www.happy-giraffe.ru/community/33/forum/post/95381/,+,+,,,,,,,,,,,,
Как снизить холестерин: практические советы,http://www.happy-giraffe.ru/community/33/forum/post/95686/,+,+,,,,,,,,,,,,
Зачем и сколько нужно носить варикозные колготки?,http://www.happy-giraffe.ru/community/33/forum/post/95744/,+,+,,,,,,,,,,,,
Как вылечить кашель: шесть самых полезных средств,http://www.happy-giraffe.ru/community/33/forum/post/96760/,+,+,,,,,,,,,,,,
Чем лучше лечить простуду во время беременности?,http://www.happy-giraffe.ru/community/33/forum/post/97025/,+,+,,,,,,,,,,,,
Фебрильная температура тела: простые и эффективные способы сбить жар,http://www.happy-giraffe.ru/community/33/forum/post/97047/,+,+,,,,,,,,,,,,
Вирус Эпштейна-Барр: стоит ли отчаиваться?,http://www.happy-giraffe.ru/community/33/forum/post/97822/,+,+,,,,,,,,,,,,
Внутривенные инъекции дома: делать или нет?,http://www.happy-giraffe.ru/community/33/forum/post/97831/,+,+,,,,,,,,,,,,
Что такое кахексия и как ее лечить?,http://www.happy-giraffe.ru/community/33/forum/post/98775/,+,+,,,,,,,,,,,,
Плазмаферез: отзывы о процедуре и особенностях ее проведения,http://www.happy-giraffe.ru/community/33/forum/post/98783/,+,+,,,,,,,,,,,,
Давление 90 на 70 мм рт. ст.,http://www.happy-giraffe.ru/community/33/forum/post/98859/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Токсиколог (лечение отравлений),Постов в рубрике: 8,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Журбина Людмила Павловна ,Врач - токсиколог,Окончила - Российский национальный исследовательский медицинский университет имени Н.И. Пирогова Министерства здравоохранения Российской Федерации,с 16 января 2012,,,,,,,,
Температура при отравлении – правильная оценка и помощь,http://www.happy-giraffe.ru/community/33/forum/post/26091/,+,+,http://www.happy-giraffe.ru/user/434034/,,,,,,,,,,,
Может ли быть на ртуть из градусника отравление?,http://www.happy-giraffe.ru/community/33/forum/post/26159/,+,+,,,,,,,,,,,,
Укус гадюки: что надо знать,http://www.happy-giraffe.ru/community/33/forum/post/31028/,+,+,,,,,,,,,,,,
Отравление пищевое: лечение и первая помощь,http://www.happy-giraffe.ru/community/33/forum/post/40669/,+,+,,,,,,,,,,,,
Что делать при пищевом отравлении?,http://www.happy-giraffe.ru/community/33/forum/post/43149/,+,+,,,,,,,,,,,,
"Подробная инструкция о том, что можно есть при отравлении",http://www.happy-giraffe.ru/community/33/forum/post/51007/,+,+,,,,,,,,,,,,
Лекарство от отравления алкоголем,http://www.happy-giraffe.ru/community/33/forum/post/51802/,+,+,,,,,,,,,,,,
Десять заповедей профилактики пищевого ботулизма,http://www.happy-giraffe.ru/community/33/forum/post/98245/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Травматолог (лечение травм),Постов в рубрике: 9,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Гришин Владимир Григорьевич  ,"Врач - ортопед, травматолог, хирург. Специалист высшей категории.","Окончил СПбГМУ им. академика И.П. Павлова, клиническая интернатура.",с 18 января 2012 ,,,,,,,,
Перелом лучевой кости со смещением - чего ожидать?,http://www.happy-giraffe.ru/community/33/forum/post/31979/,+,+,http://www.happy-giraffe.ru/user/433999/,,,,,,,,,,,
Что надо знать про перелом лодыжки,http://www.happy-giraffe.ru/community/33/forum/post/32928/,+,+,,,,,,,,,,,,
Что надо знать про перелом пяточной кости,http://www.happy-giraffe.ru/community/33/forum/post/32948/,+,+,,,,,,,,,,,,
Травматический шок: природная предусмотрительность,http://www.happy-giraffe.ru/community/33/forum/post/33302/,+,+,,,,,,,,,,,,
"Перелом стопы: неприятно, больно, но поправимо",http://www.happy-giraffe.ru/community/33/forum/post/51225/,+,+,,,,,,,,,,,,
Первая помощь при вывихе челюсти,http://www.happy-giraffe.ru/community/33/forum/post/95722/,+,+,,,,,,,,,,,,
Первая помощь при вывихе: самые действенные советы!,http://www.happy-giraffe.ru/community/33/forum/post/96829/,+,+,,,,,,,,,,,,
«Бриллиантовая спина» или чем может грозить ушиб позвоночника?,http://www.happy-giraffe.ru/community/33/forum/post/97074/,+,+,,,,,,,,,,,,
Переломы копчика и ключицы со смещением: опасные приключения,http://www.happy-giraffe.ru/community/33/forum/post/101272/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Уролог (заболевания почек и мочевыводящих путей),Постов в рубрике: 19,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,,,,,,,,,,,,
Цистит и антибиотики при цистите,http://www.happy-giraffe.ru/community/33/forum/post/23587/,+,+,Емельянов Андрей Иванович   ,"Врач - уролог, андролог. Специалист высшей квалификационной категории.",Окончил Первый Московский государственный медицинский университет им. И.М.Сеченова,с 15 января 2012 ,,,,,,,,
Мужская контрацепция,http://www.happy-giraffe.ru/community/33/forum/post/30991/,+,+,http://www.happy-giraffe.ru/user/433689/,,,,,,,,,,,
Мужские болезни: поговорим о самом сокровенном,http://www.happy-giraffe.ru/community/33/forum/post/31353/,+,+,,,,,,,,,,,,
Когда появляется кровь в моче у женщин?,http://www.happy-giraffe.ru/community/33/forum/post/31409/,+,+,,,,,,,,,,,,
Гидронефроз почки – какое должно быть лечение?,http://www.happy-giraffe.ru/community/33/forum/post/31658/,+,+,,,,,,,,,,,,
Почечная колика – чем помочь?,http://www.happy-giraffe.ru/community/33/forum/post/31811/,+,+,,,,,,,,,,,,
Цистит: лечение – антибиотики!,http://www.happy-giraffe.ru/community/33/forum/post/33557/,+,+,,,,,,,,,,,,
Цистит: лечение правильное и неправильное,http://www.happy-giraffe.ru/community/33/forum/post/45070/,+,+,,,,,,,,,,,,
Песок в почках: лечение тремя разными способами,http://www.happy-giraffe.ru/community/33/forum/post/47050/,+,+,,,,,,,,,,,,
Песок в почках: от крупицы до камушка,http://www.happy-giraffe.ru/community/33/forum/post/47070/,+,+,,,,,,,,,,,,
Микролиты в почках или Как остановить их рост,http://www.happy-giraffe.ru/community/33/forum/post/49482/,+,+,,,,,,,,,,,,
Бывает ли молочница у мужчин? Лечение без мучения,http://www.happy-giraffe.ru/community/33/forum/post/50675/,+,+,,,,,,,,,,,,
Что надо знать про воспаление мочевого пузыря,http://www.happy-giraffe.ru/community/33/forum/post/55848/,+,+,,,,,,,,,,,,
Как лечить молочницу у мужчин?,http://www.happy-giraffe.ru/community/33/forum/post/61507/,+,+,,,,,,,,,,,,
Лечение молочницы у мужчин в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/64808/,+,+,,,,,,,,,,,,
"Что делать, если в мочеточнике камень?",http://www.happy-giraffe.ru/community/33/forum/post/96774/,+,+,,,,,,,,,,,,
Как полностью вылечить микролитиаз почек?,http://www.happy-giraffe.ru/community/33/forum/post/97455/,+,+,,,,,,,,,,,,
"Что вы хотели знать об энурезе у взрослых, но стеснялись спросить?",http://www.happy-giraffe.ru/community/33/forum/post/97536/,+,+,,,,,,,,,,,,
Цистит после акта: как избавиться от мучающей проблемы?,http://www.happy-giraffe.ru/community/33/forum/post/101920/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Хирург (оперативное лечение),Постов в рубрике: 48,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Гришин Владимир Григорьевич  ,"Врач - ортопед, травматолог, хирург. Специалист высшей категории.","Окончил СПбГМУ им. академика И.П. Павлова, клиническая интернатура.",с 18 января 2012 ,,,,,,,,
Фурункул на интимном месте: рекомендуемое лечение,http://www.happy-giraffe.ru/community/33/forum/post/22263/,+,+,http://www.happy-giraffe.ru/user/433999/,,,,,,,,,,,
Папиллома: скрытая опасность,http://www.happy-giraffe.ru/community/33/forum/post/26215/,+,+,,,,,,,,,,,,
"Обрезание у мальчиков: дань моде, традиция или необходимость?",http://www.happy-giraffe.ru/community/33/forum/post/26419/,+,+,,,,,,,,,,,,
Что надо знать про гигрому лучезапястного сустава,http://www.happy-giraffe.ru/community/33/forum/post/28555/,+,+,,,,,,,,,,,,
Паховая грыжа у мужчин: причины развития и методы лечения,http://www.happy-giraffe.ru/community/33/forum/post/31035/,+,+,,,,,,,,,,,,
"Тромб в вене: симптомы, причины и лечение",http://www.happy-giraffe.ru/community/33/forum/post/31397/,+,+,,,,,,,,,,,,
Грыжа белой линии живота: определить и обезвредить,http://www.happy-giraffe.ru/community/33/forum/post/31500/,+,+,,,,,,,,,,,,
Паховая грыжа: лечение и симптомы,http://www.happy-giraffe.ru/community/33/forum/post/31559/,+,+,,,,,,,,,,,,
Если воспалился послеоперационный шов,http://www.happy-giraffe.ru/community/33/forum/post/31692/,+,+,,,,,,,,,,,,
Киста копчика – откуда берётся и как от неё избавиться?,http://www.happy-giraffe.ru/community/33/forum/post/31864/,+,+,,,,,,,,,,,,
Удаление миндалин – последствия пугают?,http://www.happy-giraffe.ru/community/33/forum/post/31893/,+,+,,,,,,,,,,,,
"Общий наркоз – это страшно, неприятно и вредно?",http://www.happy-giraffe.ru/community/33/forum/post/31894/,+,+,,,,,,,,,,,,
Пупочная грыжа у взрослых,http://www.happy-giraffe.ru/community/33/forum/post/32058/,+,+,,,,,,,,,,,,
Опухоль за ухом,http://www.happy-giraffe.ru/community/33/forum/post/32331/,+,+,,,,,,,,,,,,
Грыжа пуповая,http://www.happy-giraffe.ru/community/33/forum/post/32446/,+,+,,,,,,,,,,,,
Контрактура Дюпюитрена: причины и лечение,http://www.happy-giraffe.ru/community/33/forum/post/32522/,+,+,,,,,,,,,,,,
Что надо знать про лигатурные свищи,http://www.happy-giraffe.ru/community/33/forum/post/32915/,+,+,,,,,,,,,,,,
Фурункул под мышкой: как обезвредить врага профессионально,http://www.happy-giraffe.ru/community/33/forum/post/32940/,+,+,,,,,,,,,,,,
Аппендицит: после операции нужно...,http://www.happy-giraffe.ru/community/33/forum/post/32979/,+,+,,,,,,,,,,,,
Атерома — это опухоль или жировик?,http://www.happy-giraffe.ru/community/33/forum/post/33278/,+,+,,,,,,,,,,,,
"Все методы, как избавиться от косточки на ногах",http://www.happy-giraffe.ru/community/33/forum/post/41364/,+,+,,,,,,,,,,,,
Сосудистые звездочки на ногах: лечение и профилактика,http://www.happy-giraffe.ru/community/33/forum/post/41983/,+,+,,,,,,,,,,,,
Так ли безобидны фурункулы?,http://www.happy-giraffe.ru/community/33/forum/post/43277/,+,+,,,,,,,,,,,,
Полипы в желчном пузыре: врага нужно знать в лицо,http://www.happy-giraffe.ru/community/33/forum/post/46977/,+,+,,,,,,,,,,,,
Полипы в желчном пузыре. Что это такое? Какие существуют методы лечения?,http://www.happy-giraffe.ru/community/33/forum/post/47641/,+,+,,,,,,,,,,,,
Полип желчного пузыря: неприятность эту просто… вырежем,http://www.happy-giraffe.ru/community/33/forum/post/49740/,+,+,,,,,,,,,,,,
"Паховая грыжа у женщин, пупочная грыжа — операция необходима?",http://www.happy-giraffe.ru/community/33/forum/post/50735/,+,+,,,,,,,,,,,,
Фиброматоз – стоит ли бояться этого диагноза?,http://www.happy-giraffe.ru/community/33/forum/post/50891/,+,+,,,,,,,,,,,,
Какие неприятности таит в себе сухая мозоль?,http://www.happy-giraffe.ru/community/33/forum/post/51499/,+,+,,,,,,,,,,,,
"Карбункулы и фурункулы, их лечение",http://www.happy-giraffe.ru/community/33/forum/post/51647/,+,+,,,,,,,,,,,,
"Шипица. Что это, где и почему появляется?",http://www.happy-giraffe.ru/community/33/forum/post/51757/,+,+,,,,,,,,,,,,
Грыжа позвоночника – как ее избежать,http://www.happy-giraffe.ru/community/33/forum/post/53456/,+,+,,,,,,,,,,,,
Киста Беккера под коленом,http://www.happy-giraffe.ru/community/33/forum/post/55407/,+,+,,,,,,,,,,,,
"Киста Беккера: признаки, диагностика, лечение, осложнения",http://www.happy-giraffe.ru/community/33/forum/post/55410/,+,+,,,,,,,,,,,,
Шунтирование сердца - это что за операция?,http://www.happy-giraffe.ru/community/33/forum/post/55569/,+,+,,,,,,,,,,,,
Шунтирование сердца – что это такое? Риски операции,http://www.happy-giraffe.ru/community/33/forum/post/55585/,+,+,,,,,,,,,,,,
Тромбофлебит нижних конечностей,http://www.happy-giraffe.ru/community/33/forum/post/56085/,+,+,,,,,,,,,,,,
Чем опасная грыжа пупочная у взрослых,http://www.happy-giraffe.ru/community/33/forum/post/56712/,+,+,,,,,,,,,,,,
Деформация грудной клетки: виды и причины их развития,http://www.happy-giraffe.ru/community/33/forum/post/56756/,+,+,,,,,,,,,,,,
Сухие мозоли – почему возникают и как удалить?,http://www.happy-giraffe.ru/community/33/forum/post/57929/,+,+,,,,,,,,,,,,
Вросший ноготь – маленькая проблема с большими последствиями,http://www.happy-giraffe.ru/community/33/forum/post/58998/,+,+,,,,,,,,,,,,
Гигрома: что это такое?,http://www.happy-giraffe.ru/community/33/forum/post/63860/,+,+,,,,,,,,,,,,
"Паховая грыжа: все, что необходимо знать о заболевании",http://www.happy-giraffe.ru/community/33/forum/post/92966/,+,+,,,,,,,,,,,,
Шишка в паху у мужчин: описание проблемы и пути ее решения,http://www.happy-giraffe.ru/community/33/forum/post/93537/,+,+,,,,,,,,,,,,
Лечение чирия: краткая инструкция по выздоровлению,http://www.happy-giraffe.ru/community/33/forum/post/100931/,+,-,,,,,,,,,,,,
Как эффективно лечить стеноз левой позвоночной артерии?,http://www.happy-giraffe.ru/community/33/forum/post/101623/,+,-,,,,,,,,,,,,
Трепанация черепа: последствия неизбежны?,http://www.happy-giraffe.ru/community/33/forum/post/101973/,+,-,,,,,,,,,,,,
Лимфостаз нижних конечностей: беспощадный враг красивых ног,http://www.happy-giraffe.ru/community/33/forum/post/101996/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Эндокринолог (заболевания эндокринной системы),Постов в рубрике: 24,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Похабова Зинаида Артемовна,Врач - эндокринолог,"Окончила - Клиническая ординатура, кафедра эндокринологии и диабетологии, Российская медицинская академия последипломного образования.",с 12 января 2012 года ,,,,,,,,
Правильное питание при сахарном диабете – один из главных шагов к полноценной жизни,http://www.happy-giraffe.ru/community/33/forum/post/30558/,+,+,http://www.happy-giraffe.ru/user/434039/,,,,,,,,,,,
Гипопитуитаризм – что за болезнь такая?,http://www.happy-giraffe.ru/community/33/forum/post/30667/,+,+,,,,,,,,,,,,
Диабетическая стопа. Можно ли обойтись без ампутации?,http://www.happy-giraffe.ru/community/33/forum/post/31387/,+,+,,,,,,,,,,,,
Гипоплазия щитовидной железы: причины и последствия,http://www.happy-giraffe.ru/community/33/forum/post/31835/,+,+,,,,,,,,,,,,
Какие бывают болезни гипофиза и чем они вызываются?,http://www.happy-giraffe.ru/community/33/forum/post/32291/,+,+,,,,,,,,,,,,
Тиреотоксикоз: 9 важных фактов,http://www.happy-giraffe.ru/community/33/forum/post/33241/,+,+,,,,,,,,,,,,
Почему увеличиваются лимфоузлы на шее и что при этом делать?,http://www.happy-giraffe.ru/community/33/forum/post/33252/,+,+,,,,,,,,,,,,
Повышенное потоотделение: о разных методах лечения,http://www.happy-giraffe.ru/community/33/forum/post/40644/,+,+,,,,,,,,,,,,
Можно ли вылечить воспаление лимфоузлов?,http://www.happy-giraffe.ru/community/33/forum/post/45421/,+,+,,,,,,,,,,,,
Когда возникает воспаление лимфоузлов на шее?,http://www.happy-giraffe.ru/community/33/forum/post/45426/,+,+,,,,,,,,,,,,
Что надо знать про ожирение 1 степени,http://www.happy-giraffe.ru/community/33/forum/post/46029/,+,+,,,,,,,,,,,,
"Почему низкий сахар в крови не менее опасен, чем высокий?",http://www.happy-giraffe.ru/community/33/forum/post/47969/,+,+,,,,,,,,,,,,
Симптомы щитовидной железы – игнорировать противопоказано,http://www.happy-giraffe.ru/community/33/forum/post/48687/,+,+,,,,,,,,,,,,
Как восстановить обмен веществ?,http://www.happy-giraffe.ru/community/33/forum/post/49672/,+,+,,,,,,,,,,,,
Лимфоузлы под мышками,http://www.happy-giraffe.ru/community/33/forum/post/51794/,+,+,,,,,,,,,,,,
Воспалился лимфоузел за ухом. Что делать?,http://www.happy-giraffe.ru/community/33/forum/post/54088/,+,+,,,,,,,,,,,,
Увеличение лимфоузлов на шее: первый сигнал о серьезной опасности,http://www.happy-giraffe.ru/community/33/forum/post/54312/,+,+,,,,,,,,,,,,
"Галакторея: лактация, которую никто не ждет",http://www.happy-giraffe.ru/community/33/forum/post/55394/,+,+,,,,,,,,,,,,
"Воспаление лимфоузлов под мышкой: причины, симптомы и лечение",http://www.happy-giraffe.ru/community/33/forum/post/55846/,+,+,,,,,,,,,,,,
Гормональный дисбаланс и 5 возможных причин,http://www.happy-giraffe.ru/community/33/forum/post/56704/,+,+,,,,,,,,,,,,
Лимфатические узлы на шее: разбираемся что к чему,http://www.happy-giraffe.ru/community/33/forum/post/61992/,+,+,,,,,,,,,,,,
Трофическая язва: лечение будет непростым,http://www.happy-giraffe.ru/community/33/forum/post/94706/,+,+,,,,,,,,,,,,
4 главные причины увеличения подчелюстных лимфоузлов,http://www.happy-giraffe.ru/community/33/forum/post/96858/,+,+,,,,,,,,,,,,
Зоб Хашимото. Миссия выполнима!,http://www.happy-giraffe.ru/community/33/forum/post/97078/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Диетолог,Постов в рубрике: 92,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Голубева Ирина Викторовна ,"Врач - терапевт, гепатолог, диетолог.",Окончила 2 Московский государственный медицинский институт.,,,,,,,,,
Диета Пегано при псориазе: особенности и эффективность,http://www.happy-giraffe.ru/community/33/forum/post/30673/,+,+,http://www.happy-giraffe.ru/user/433649/,,,,,,,,,,,
Основные правила раздельного питания по Шелтону,http://www.happy-giraffe.ru/community/33/forum/post/31366/,+,+,,,,,,,,,,,,
Гипертонический криз. Диета,http://www.happy-giraffe.ru/community/33/forum/post/31373/,+,+,,,,,,,,,,,,
"Диета при диспепсии: что можно, а что нельзя",http://www.happy-giraffe.ru/community/33/forum/post/31708/,+,+,,,,,,,,,,,,
Диета при повышенной кислотности: принципы питания и разрешенные продукты,http://www.happy-giraffe.ru/community/33/forum/post/32325/,+,+,,,,,,,,,,,,
Вреден протеин или жизненно важен?,http://www.happy-giraffe.ru/community/33/forum/post/32329/,+,+,,,,,,,,,,,,
Диета по Пегано: для красивой кожи и стройной талии,http://www.happy-giraffe.ru/community/33/forum/post/32478/,+,+,,,,,,,,,,,,
Как наладить обмен веществ в организме,http://www.happy-giraffe.ru/community/33/forum/post/40376/,+,+,,,,,,,,,,,,
Актуально! В каких продуктах содержится железо?,http://www.happy-giraffe.ru/community/33/forum/post/40546/,+,+,,,,,,,,,,,,
Как вывести лишнюю воду из организма,http://www.happy-giraffe.ru/community/33/forum/post/40586/,+,+,,,,,,,,,,,,
Метаболизм: строительство на молекулярном уровне,http://www.happy-giraffe.ru/community/33/forum/post/40590/,+,+,,,,,,,,,,,,
Какой должна быть диета при подагре?,http://www.happy-giraffe.ru/community/33/forum/post/40599/,+,+,,,,,,,,,,,,
Диета при желчнокаменной болезни: всё под контролем!,http://www.happy-giraffe.ru/community/33/forum/post/41048/,+,+,,,,,,,,,,,,
Хронический панкреатит – диета: тщательно выбираем продукты,http://www.happy-giraffe.ru/community/33/forum/post/41349/,+,+,,,,,,,,,,,,
"Диета при анемии: что есть, как есть, когда есть",http://www.happy-giraffe.ru/community/33/forum/post/41617/,+,+,,,,,,,,,,,,
"Шкала значимости: продукты, содержащие цинк",http://www.happy-giraffe.ru/community/33/forum/post/42246/,+,+,,,,,,,,,,,,
ТОП-10 список диетических продуктов для мужчин,http://www.happy-giraffe.ru/community/33/forum/post/42247/,+,+,,,,,,,,,,,,
Нежирные сорта рыбы: выбор и правильное приготовление,http://www.happy-giraffe.ru/community/33/forum/post/42949/,+,+,,,,,,,,,,,,
Питание по группе крови: подробные списки полезных и вредных продуктов,http://www.happy-giraffe.ru/community/33/forum/post/43216/,+,+,,,,,,,,,,,,
Диета при желчекаменной болезни: жизнь без обострений,http://www.happy-giraffe.ru/community/33/forum/post/43447/,+,+,,,,,,,,,,,,
"Есть, чтобы жить… или За дробное питание!",http://www.happy-giraffe.ru/community/33/forum/post/43559/,+,+,,,,,,,,,,,,
"Клетчатка для похудения: 0 калорий, 100% пользы",http://www.happy-giraffe.ru/community/33/forum/post/43579/,+,+,,,,,,,,,,,,
"Продукты, содержащие белок: через знание к идеальному питанию",http://www.happy-giraffe.ru/community/33/forum/post/43610/,+,+,,,,,,,,,,,,
"Диета при холецистите: что можно, а что под строгим запретом?",http://www.happy-giraffe.ru/community/33/forum/post/43716/,+,+,,,,,,,,,,,,
"Продукты, содержащие углеводы: что, где, сколько",http://www.happy-giraffe.ru/community/33/forum/post/43756/,+,+,,,,,,,,,,,,
Отруби: польза для каких 6 групп людей очевидна?,http://www.happy-giraffe.ru/community/33/forum/post/43856/,+,+,,,,,,,,,,,,
Полноценная диета при заболевании печени,http://www.happy-giraffe.ru/community/33/forum/post/44637/,+,+,,,,,,,,,,,,
